[64072,900929] [55997,913040]
[374002,20073] [365984,7923]
[978790,748994] [987032,761009]
[746993,538046] [761004,533979]
[71001,885998] [56973,890117]
[747021,680029] [739978,666967]
[588953,342999] [602035,350057]
[425051,555047] [411974,547952]
[960024,510075] [952959,496976]
[292904,382972] [300012,396050]
[402001,923128] [388926,915947]
[740005,546995] [734896,561029]
[21116,745980] [10958,757012]
[271056,813989] [270997,829003]
[59995,714007] [75014,712994]
[897965,542998] [910004,552038]
[170998,315255] [186000,313867]
[282028,653132] [266994,651977]
[144137,446978] [142694,462013]
[219954,290918] [232024,300021]
[112969,695018] [115022,679983]
[855022,855948] [839981,858033]
[467050,541989] [464846,557017]
[483030,538979] [467971,541001]
[659998,498026] [668027,484977]
[771994,538003] [785081,529993]
[877974,382945] [892040,389082]
[541005,225051] [525976,221938]
[417976,844071] [433009,840976]
[812040,648023] [808867,632986]
[530058,461934] [521967,475089]
[572017,221005] [556998,216972]
[254974,669013] [259010,653984]
[231146,187996] [226983,203009]
[184995,75923] [200003,80126]
[763998,668135] [779006,663885]
[404995,705799] [420013,710056]
[606052,938980] [594955,950034]
[745040,649056] [732997,638976]
[216016,450976] [203981,461078]
[110027,898979] [95997,906123]
[851080,484954] [840956,497021]
[427971,743112] [442022,735988]
[53994,999126] [68007,991880]
[49886,681015] [57127,666977]
[473959,274895] [488056,282032]
[642027,339012] [628931,329978]
[324969,486952] [334027,500065]
[299196,56002] [298985,39995]
[48016,51780] [31995,52261]
[897917,542002] [899027,525993]
[163957,683996] [166093,700000]
[812985,648056] [829000,645924]
[345992,883928] [362005,886087]
[277990,862008] [293018,855990]
[454911,304030] [457179,287995]
[992932,959004] [995279,942978]
[107047,191013] [92982,182961]
[751983,19893] [768022,22344]
[954013,888004] [938958,881823]
[541928,225072] [556000,216882]
[216988,450966] [233006,454098]
[254067,669965] [250932,686015]
[964981,342031] [976008,329951]
[565979,487029] [577091,474993]
[343997,754977] [355036,767081]
[244015,794719] [227961,798040]
[793993,432010] [807019,421905]
[22046,273053] [8948,262988]
[344990,259951] [361000,264055]
[385916,967943] [399047,978002]
[551046,695045] [546907,678979]
[648116,483024] [634938,472925]
[885956,337956] [893099,353004]
[543918,924944] [559016,932036]
[844931,609990] [852043,625080]
[540991,805950] [555025,815009]
[820934,835989] [828170,851051]
[206986,578936] [221015,588029]
[576979,694998] [591000,704115]
[93950,343905] [103078,358008]
[745989,649992] [762009,655099]
[745049,649999] [739889,666018]
[579927,58013] [585078,41985]
[263960,461026] [280019,455907]
[933038,188076] [916992,182902]
[126105,410045] [120945,393991]
[551194,695986] [545984,712030]
[766132,735940] [760963,752021]
[26897,66996] [27115,84002]
[321924,558000] [323167,540999]
[98994,247774] [116004,249022]
[178988,220968] [196024,222222]
[134001,251300] [116968,249981]
[977955,306032] [986055,290989]
[241953,882009] [253017,868986]
[126964,410931] [139052,423041]
[342926,780030] [355089,767995]
[146995,690028] [163037,683964]
[930008,811044] [912986,808931]
[877067,382014] [874885,364997]
[502806,141017] [511009,125948]
[608003,60960] [601905,77007]
[397031,822019] [380993,815884]
[237023,23034] [225934,9922]
[576191,694983] [573924,712022]
[940109,851965] [937854,869009]
[659012,498009] [648995,483950]
[702990,707065] [717029,696933]
[310042,617974] [306911,635003]
[894986,804932] [912020,808120]
[316023,35878] [298970,39003]
[861016,688992] [843985,693008]
[54956,345985] [72000,350026]
[783026,286006] [773976,270979]
[378122,676944] [368919,692016]
[617972,757001] [631019,744981]
[618995,457982] [632047,470037]
[269036,479000] [263924,461953]
[647119,458997] [634975,472010]
[523013,587903] [505953,593003]
[194034,699938] [176967,705016]
[406956,684076] [424030,678946]
[549001,437972] [535923,450111]
[21982,745909] [34062,759042]
[237986,23023] [252026,11972]
[811080,225046] [799974,210944]
[958927,191950] [967016,208034]
[616977,876935] [633034,885081]
[161659,636985] [162051,655001]
[661628,681991] [660954,700011]
[71962,885070] [80032,868941]
[684022,779959] [665998,781006]
[485956,822945] [503008,829014]
[711995,760992] [727068,771051]
[305007,677993] [302943,696007]
[815994,888894] [834004,891046]
[39090,527996] [28944,543031]
[685006,90059] [666987,87954]
[758920,105003] [776037,98908]
[918970,866970] [937018,869082]
[681987,964244] [700015,961889]
[787921,905992] [790057,924051]
[108136,927992] [104966,946037]
[480015,238108] [461959,234990]
[951989,541342] [970004,537846]
[324003,486997] [314982,503002]
[65022,65969] [47991,73032]
[131963,114935] [148054,124005]
[400122,707997] [390980,724062]
[441012,512814] [423982,520001]
[172994,968998] [191033,973041]
[748038,67862] [730997,75053]
[338018,963025] [319967,958988]
[814992,994019] [819087,975979]
[398001,146005] [383968,133949]
[135974,505935] [154010,510099]
[676969,629026] [695025,624927]
[22904,273001] [32006,256876]
[869936,912937] [888010,917021]
[360977,827928] [377107,837086]
[753109,383014] [738907,370985]
[180021,97939] [164983,109043]
[239877,206012] [251001,190948]
[345015,883049] [333980,867885]
[820947,835004] [826094,816952]
[42069,310968] [30761,326030]
[481015,144947] [463939,153007]
[662055,757003] [651944,740997]
[693001,664816] [673997,664725]
[169997,724006] [176024,705970]
[857108,41989] [856962,61005]
[123997,596268] [143011,595782]
[925992,910091] [945009,909654]
[595591,41012] [596000,21974]
[276004,759975] [257997,766180]
[487996,297902] [507003,299301]
[43960,758277] [63017,756800]
[322758,333002] [325068,313997]
[597959,218020] [612000,204996]
[297958,416039] [300245,396987]
[391076,604008] [387875,584996]
